:START_ID(Order),:END_ID(Product),:TYPE,UnitPrice,Quantity,Discount
20,55,CONTAINS,6725.5,10,0.15
21,41,CONTAINS,9138.64,4,0.1
21,86,CONTAINS,8005.05,20,0.0
22,13,CONTAINS,3780.18,11,0.0
22,41,CONTAINS,9588.79,10,0.05
22,99,CONTAINS,1638.53,4,0.1
22,100,CONTAINS,8661.73,18,0.1
23,16,CONTAINS,8213.07,10,0.0
23,70,CONTAINS,8034.09,8,0.15
23,96,CONTAINS,8612.23,2,0.05
24,40,CONTAINS,6236.97,5,0.0
24,56,CONTAINS,270.44,9,0.05
24,65,CONTAINS,6319.43,4,0.15
24,96,CONTAINS,9102.95,12,0.2
25,18,CONTAINS,5369.62,10,0.2
25,79,CONTAINS,9554.55,14,0.2
25,85,CONTAINS,1631.52,9,0.05
25,95,CONTAINS,8298.14,15,0.1
25,97,CONTAINS,9283.34,1,0.15
26,10,CONTAINS,1868.0,18,0.15
26,16,CONTAINS,8556.1,17,0.15
26,22,CONTAINS,7296.67,17,0.0
27,79,CONTAINS,9429.84,16,0.0
28,34,CONTAINS,7235.72,19,0.0
28,46,CONTAINS,1944.15,2,0.15
28,85,CONTAINS,1491.55,7,0.0
28,93,CONTAINS,5631.98,14,0.1
29,5,CONTAINS,4844.4,11,0.0
29,61,CONTAINS,796.59,20,0.2
30,6,CONTAINS,5407.22,12,0.15
30,10,CONTAINS,1812.31,18,0.1
30,57,CONTAINS,4236.87,8,0.1
31,54,CONTAINS,7073.69,16,0.15
31,74,CONTAINS,2280.04,2,0.15
31,81,CONTAINS,1455.05,9,0.15
31,88,CONTAINS,4492.26,7,0.2
32,3,CONTAINS,8891.17,5,0.0
32,24,CONTAINS,6824.63,6,0.05
32,35,CONTAINS,3118.15,19,0.1
32,73,CONTAINS,262.26,7,0.0
33,25,CONTAINS,10112.01,9,0.1
33,53,CONTAINS,3033.74,19,0.05
33,55,CONTAINS,6910.25,7,0.15
33,66,CONTAINS,8857.66,19,0.05
34,23,CONTAINS,8206.94,10,0.0
34,47,CONTAINS,2326.44,15,0.05
34,69,CONTAINS,4160.61,9,0.0
34,90,CONTAINS,2464.42,7,0.2
34,99,CONTAINS,1717.29,1,0.05
35,18,CONTAINS,5164.23,9,0.15
35,88,CONTAINS,4514.92,17,0.0
35,95,CONTAINS,8163.05,6,0.1
35,100,CONTAINS,8655.68,3,0.15
36,15,CONTAINS,5916.52,14,0.2
37,26,CONTAINS,8017.22,13,0.1
37,35,CONTAINS,3247.02,19,0.05
38,96,CONTAINS,8460.44,8,0.0
39,2,CONTAINS,9876.7,6,0.15
39,12,CONTAINS,9593.82,14,0.05
39,40,CONTAINS,6244.78,19,0.15
39,62,CONTAINS,8653.77,20,0.0
39,79,CONTAINS,9794.42,11,0.1
40,48,CONTAINS,817.79,4,0.1
40,55,CONTAINS,6988.81,9,0.1
41,17,CONTAINS,7981.15,9,0.05
41,65,CONTAINS,6694.52,19,0.1
41,100,CONTAINS,8576.78,11,0.05
42,27,CONTAINS,8619.87,7,0.1
42,79,CONTAINS,9552.68,14,0.1
43,31,CONTAINS,1333.58,4,0.1
43,36,CONTAINS,9488.15,16,0.15
43,74,CONTAINS,2297.24,11,0.05
43,79,CONTAINS,10121.38,9,0.05
43,90,CONTAINS,2505.49,8,0.15
44,6,CONTAINS,5700.51,16,0.1
44,39,CONTAINS,1677.76,19,0.2
44,55,CONTAINS,6758.07,17,0.1
45,14,CONTAINS,8074.21,15,0.0
45,33,CONTAINS,6376.46,1,0.0
45,72,CONTAINS,6382.51,16,0.0
45,84,CONTAINS,4006.09,11,0.05
46,25,CONTAINS,9472.0,16,0.15
46,40,CONTAINS,6396.25,20,0.15
46,42,CONTAINS,7461.18,19,0.05
46,82,CONTAINS,7210.58,9,0.05
46,86,CONTAINS,8670.12,4,0.2
47,38,CONTAINS,4477.17,20,0.2
47,93,CONTAINS,5744.15,3,0.05
48,11,CONTAINS,4544.36,8,0.05
48,47,CONTAINS,2381.02,8,0.1
49,23,CONTAINS,8342.38,17,0.05
49,29,CONTAINS,6128.67,5,0.15
49,37,CONTAINS,10377.53,2,0.05
49,71,CONTAINS,6083.72,11,0.0
50,8,CONTAINS,8985.39,4,0.1
50,25,CONTAINS,9211.41,4,0.05
51,25,CONTAINS,9501.77,13,0.0
51,38,CONTAINS,4415.97,13,0.15
51,64,CONTAINS,6030.01,18,0.2
51,75,CONTAINS,9165.81,3,0.15
52,3,CONTAINS,8947.26,12,0.15
53,89,CONTAINS,8871.68,1,0.15
54,28,CONTAINS,235.79,1,0.2
54,51,CONTAINS,892.03,2,0.0
54,84,CONTAINS,4227.81,11,0.15
54,88,CONTAINS,4714.28,3,0.2
55,46,CONTAINS,1955.86,19,0.1
55,48,CONTAINS,821.51,6,0.0
55,55,CONTAINS,6744.75,8,0.0
55,56,CONTAINS,268.99,12,0.15
56,21,CONTAINS,2513.97,2,0.05
56,23,CONTAINS,8579.17,4,0.05
56,60,CONTAINS,2340.41,1,0.05
56,82,CONTAINS,7183.05,11,0.0
56,86,CONTAINS,7938.56,17,0.0
57,94,CONTAINS,9275.45,7,0.0
58,71,CONTAINS,6354.87,13,0.0
59,10,CONTAINS,1794.4,8,0.05
59,24,CONTAINS,6879.55,12,0.05
59,39,CONTAINS,1745.19,5,0.0
59,68,CONTAINS,3761.09,6,0.1
60,23,CONTAINS,8263.34,18,0.2
60,44,CONTAINS,7521.62,18,0.15
61,13,CONTAINS,3543.9,14,0.0
62,17,CONTAINS,8104.82,17,0.1
62,79,CONTAINS,10021.39,2,0.0
62,98,CONTAINS,2775.2,15,0.2
63,1,CONTAINS,7320.16,20,0.0
64,22,CONTAINS,7793.04,7,0.1
65,5,CONTAINS,5092.88,3,0.05
66,7,CONTAINS,1078.12,13,0.2
66,12,CONTAINS,9591.09,1,0.15
66,13,CONTAINS,3496.71,5,0.15
66,78,CONTAINS,5103.06,9,0.15
67,2,CONTAINS,10198.67,19,0.05
67,37,CONTAINS,9732.65,5,0.0
67,62,CONTAINS,8188.14,18,0.2
67,70,CONTAINS,7656.63,11,0.05
68,8,CONTAINS,9088.49,8,0.05
68,52,CONTAINS,5855.53,13,0.2
68,79,CONTAINS,9319.18,7,0.1
68,99,CONTAINS,1759.47,10,0.05
68,101,CONTAINS,1636.38,10,0.2
69,38,CONTAINS,4519.83,8,0.0
69,60,CONTAINS,2238.66,10,0.15
69,62,CONTAINS,8309.31,3,0.0
69,66,CONTAINS,8901.7,4,0.2
69,71,CONTAINS,6475.63,5,0.15
70,82,CONTAINS,6771.08,4,0.2
70,97,CONTAINS,9352.69,18,0.0
71,22,CONTAINS,7798.35,6,0.2
71,45,CONTAINS,7251.91,17,0.0
71,64,CONTAINS,5959.97,15,0.15
72,74,CONTAINS,2355.24,1,0.1
72,90,CONTAINS,2563.89,8,0.2
72,96,CONTAINS,8791.34,3,0.2
73,4,CONTAINS,9813.92,8,0.05
73,55,CONTAINS,7094.49,4,0.05
74,47,CONTAINS,2295.15,7,0.0
74,74,CONTAINS,2327.36,3,0.0
74,87,CONTAINS,3361.88,17,0.1
74,97,CONTAINS,8903.14,18,0.1
75,61,CONTAINS,728.27,2,0.1
75,88,CONTAINS,4719.32,20,0.0
75,92,CONTAINS,8872.95,4,0.1
75,100,CONTAINS,8626.95,14,0.05
76,13,CONTAINS,3761.68,10,0.1
76,18,CONTAINS,5290.49,6,0.1
76,22,CONTAINS,8000.58,12,0.1
76,56,CONTAINS,260.8,13,0.15
76,94,CONTAINS,8940.03,10,0.15
77,94,CONTAINS,9075.88,6,0.2
78,1,CONTAINS,7526.45,17,0.0
78,63,CONTAINS,9058.46,16,0.1
78,95,CONTAINS,8751.55,5,0.1
79,79,CONTAINS,10159.61,10,0.2
79,85,CONTAINS,1554.64,18,0.1
80,10,CONTAINS,1776.39,7,0.1
80,64,CONTAINS,6081.21,4,0.0
80,71,CONTAINS,6419.01,2,0.15
81,18,CONTAINS,5454.49,1,0.0
81,45,CONTAINS,7104.11,15,0.1
81,99,CONTAINS,1637.57,1,0.2
81,101,CONTAINS,1604.71,18,0.15
82,2,CONTAINS,9571.52,11,0.15
82,11,CONTAINS,4467.03,5,0.1
82,52,CONTAINS,5937.4,12,0.2
82,61,CONTAINS,733.83,14,0.0
82,87,CONTAINS,3289.97,5,0.05
83,3,CONTAINS,8447.27,10,0.1
83,22,CONTAINS,7427.73,17,0.15
83,39,CONTAINS,1643.32,4,0.15
84,87,CONTAINS,3486.54,16,0.05
85,12,CONTAINS,9205.09,18,0.2
85,13,CONTAINS,3799.79,7,0.05
85,31,CONTAINS,1334.01,1,0.15
85,96,CONTAINS,8920.34,10,0.2
86,34,CONTAINS,7265.32,8,0.05
86,60,CONTAINS,2228.1,5,0.05
86,74,CONTAINS,2174.76,9,0.15
86,75,CONTAINS,8938.95,19,0.15
86,97,CONTAINS,9507.28,11,0.2
87,1,CONTAINS,7394.76,2,0.2
88,66,CONTAINS,9411.67,14,0.1
89,63,CONTAINS,9319.05,11,0.1
90,43,CONTAINS,4292.21,18,0.15
90,73,CONTAINS,271.87,17,0.0
91,86,CONTAINS,8374.64,9,0.1
91,89,CONTAINS,9373.69,6,0.1
91,93,CONTAINS,5772.71,3,0.1
91,96,CONTAINS,8796.41,12,0.2
91,98,CONTAINS,2780.55,1,0.05
92,14,CONTAINS,8558.92,7,0.2
92,17,CONTAINS,8558.09,3,0.05
92,97,CONTAINS,9483.51,8,0.15
93,28,CONTAINS,224.13,4,0.0
93,43,CONTAINS,4309.63,5,0.2
93,44,CONTAINS,7844.72,4,0.05
93,60,CONTAINS,2207.59,6,0.15
94,6,CONTAINS,5255.74,19,0.05
94,15,CONTAINS,6317.65,11,0.05
94,77,CONTAINS,6815.18,2,0.15
95,16,CONTAINS,8900.71,7,0.05
95,31,CONTAINS,1322.62,10,0.1
95,67,CONTAINS,1487.12,2,0.0
96,60,CONTAINS,2151.84,3,0.2
97,4,CONTAINS,10306.17,4,0.2
97,51,CONTAINS,829.99,7,0.15
97,61,CONTAINS,755.32,19,0.15
97,72,CONTAINS,6277.07,11,0.1
97,76,CONTAINS,7086.51,3,0.0
98,7,CONTAINS,1056.26,19,0.15
98,78,CONTAINS,5230.89,20,0.0
99,86,CONTAINS,8567.21,11,0.2
99,95,CONTAINS,8666.51,10,0.2
100,50,CONTAINS,9494.08,2,0.1
101,8,CONTAINS,9171.86,9,0.1
101,10,CONTAINS,1794.45,14,0.1
101,29,CONTAINS,6156.3,15,0.05
101,79,CONTAINS,9495.66,10,0.15
102,99,CONTAINS,1719.23,10,0.2
103,10,CONTAINS,1874.2,18,0.05
103,19,CONTAINS,7726.73,2,0.15
103,33,CONTAINS,5944.11,8,0.1
103,40,CONTAINS,6353.34,11,0.1
103,94,CONTAINS,8935.96,17,0.1
104,27,CONTAINS,8513.06,6,0.2
104,84,CONTAINS,4103.73,10,0.15
104,93,CONTAINS,5464.7,7,0.05
105,8,CONTAINS,8857.91,8,0.1
105,12,CONTAINS,9264.47,5,0.1
105,45,CONTAINS,7504.46,9,0.1
105,66,CONTAINS,9423.37,12,0.2
105,67,CONTAINS,1456.89,13,0.05
106,2,CONTAINS,10249.71,2,0.0
107,10,CONTAINS,1865.41,3,0.1
107,13,CONTAINS,3493.98,18,0.05
107,36,CONTAINS,9358.88,1,0.05
107,47,CONTAINS,2420.68,13,0.2
107,69,CONTAINS,3958.03,5,0.05
108,76,CONTAINS,7674.83,6,0.2
109,51,CONTAINS,838.31,12,0.0
109,76,CONTAINS,7090.01,18,0.0
109,96,CONTAINS,8458.55,5,0.05
110,74,CONTAINS,2239.87,9,0.0
111,21,CONTAINS,2389.71,19,0.0
111,26,CONTAINS,7873.85,11,0.0
111,43,CONTAINS,4144.21,10,0.1
111,47,CONTAINS,2429.92,11,0.1
111,86,CONTAINS,8556.27,5,0.0
112,32,CONTAINS,1742.74,11,0.15
112,66,CONTAINS,8953.33,16,0.05
112,69,CONTAINS,4064.36,15,0.0
112,79,CONTAINS,9919.99,6,0.15
112,97,CONTAINS,9546.54,10,0.0
113,12,CONTAINS,8930.37,8,0.2
113,31,CONTAINS,1304.64,9,0.2
114,7,CONTAINS,1152.1,14,0.1
114,13,CONTAINS,3702.0,7,0.1
114,48,CONTAINS,794.87,6,0.1
115,65,CONTAINS,6511.98,13,0.15
116,14,CONTAINS,8367.31,13,0.05
116,21,CONTAINS,2532.9,17,0.15
116,28,CONTAINS,230.87,13,0.15
116,85,CONTAINS,1628.95,15,0.05
117,14,CONTAINS,8357.26,16,0.05
117,27,CONTAINS,8457.75,13,0.1
117,60,CONTAINS,2342.96,20,0.2
117,69,CONTAINS,4132.18,1,0.2
117,93,CONTAINS,5497.04,3,0.15
118,11,CONTAINS,4397.82,5,0.0
118,17,CONTAINS,8223.31,20,0.15
118,75,CONTAINS,9504.72,19,0.1
118,79,CONTAINS,9357.51,1,0.1
118,97,CONTAINS,8821.73,14,0.0
119,18,CONTAINS,5274.91,14,0.1
119,53,CONTAINS,3054.92,5,0.0
119,70,CONTAINS,7607.39,18,0.0
119,73,CONTAINS,262.69,13,0.0
119,101,CONTAINS,1689.67,5,0.1
120,21,CONTAINS,2570.73,16,0.1
120,70,CONTAINS,7784.51,2,0.2
120,98,CONTAINS,2549.29,14,0.1
121,37,CONTAINS,10233.85,17,0.1
121,50,CONTAINS,9888.2,18,0.1
121,99,CONTAINS,1685.45,3,0.0
122,14,CONTAINS,8070.09,11,0.2
122,26,CONTAINS,7641.64,6,0.1
122,95,CONTAINS,8561.45,16,0.15
123,31,CONTAINS,1408.07,4,0.2
123,39,CONTAINS,1713.49,14,0.05
123,60,CONTAINS,2363.85,15,0.05
123,89,CONTAINS,9403.12,6,0.0
123,97,CONTAINS,8881.91,4,0.15
124,31,CONTAINS,1385.21,7,0.2
124,69,CONTAINS,4038.95,7,0.15
125,56,CONTAINS,252.44,2,0.2
125,96,CONTAINS,9050.12,14,0.15
125,98,CONTAINS,2548.13,1,0.1
126,11,CONTAINS,4603.72,19,0.1
126,33,CONTAINS,5871.94,20,0.0
127,14,CONTAINS,8188.66,16,0.05
127,73,CONTAINS,252.81,4,0.2
128,7,CONTAINS,1072.51,18,0.1
128,10,CONTAINS,1815.64,2,0.1
129,18,CONTAINS,5178.27,13,0.0
129,23,CONTAINS,8673.79,4,0.2
129,32,CONTAINS,1824.53,17,0.0
129,34,CONTAINS,7515.77,6,0.2
130,71,CONTAINS,6293.02,10,0.0
131,18,CONTAINS,5103.41,15,0.1
131,21,CONTAINS,2430.61,16,0.15
131,101,CONTAINS,1637.09,14,0.1
132,14,CONTAINS,8047.16,19,0.2
132,32,CONTAINS,1830.14,4,0.15
132,50,CONTAINS,10047.11,13,0.1
132,62,CONTAINS,8272.12,2,0.0
132,99,CONTAINS,1609.81,15,0.1
133,12,CONTAINS,9595.29,13,0.2
134,54,CONTAINS,7521.42,4,0.05
135,4,CONTAINS,9532.91,4,0.15
135,39,CONTAINS,1621.01,3,0.2
135,44,CONTAINS,7368.87,5,0.2
135,55,CONTAINS,6670.08,10,0.2
135,89,CONTAINS,9611.79,12,0.15
136,36,CONTAINS,9296.62,10,0.2
137,10,CONTAINS,1779.06,17,0.15
137,16,CONTAINS,8330.28,3,0.1
137,18,CONTAINS,5150.71,16,0.2
138,33,CONTAINS,6297.04,4,0.1
138,38,CONTAINS,4266.61,13,0.1
138,64,CONTAINS,6124.61,17,0.0
138,66,CONTAINS,9473.57,12,0.0
138,101,CONTAINS,1717.27,6,0.15
139,3,CONTAINS,8213.22,12,0.0
139,13,CONTAINS,3607.59,15,0.1
139,28,CONTAINS,237.43,16,0.0
140,72,CONTAINS,6177.46,7,0.1
140,78,CONTAINS,5113.8,10,0.05
140,90,CONTAINS,2600.17,19,0.05
141,32,CONTAINS,1837.2,18,0.0
141,44,CONTAINS,7663.67,11,0.15
141,63,CONTAINS,8962.12,2,0.15
141,75,CONTAINS,9682.47,6,0.2
141,93,CONTAINS,5719.26,8,0.2
142,60,CONTAINS,2203.93,4,0.2
142,66,CONTAINS,9575.87,19,0.05
142,68,CONTAINS,3531.81,8,0.05
142,76,CONTAINS,7622.95,2,0.05
143,21,CONTAINS,2517.27,6,0.0
143,31,CONTAINS,1400.37,13,0.05
143,33,CONTAINS,6210.62,11,0.0
144,28,CONTAINS,235.97,11,0.0
144,31,CONTAINS,1290.58,20,0.05
144,37,CONTAINS,9747.84,8,0.15
144,66,CONTAINS,8793.57,2,0.0
145,43,CONTAINS,4164.62,15,0.1
145,98,CONTAINS,2616.58,11,0.1
146,9,CONTAINS,6722.19,7,0.1
146,33,CONTAINS,6400.87,20,0.05
146,65,CONTAINS,6305.41,13,0.05
146,75,CONTAINS,8850.6,7,0.0
146,101,CONTAINS,1722.18,14,0.0
147,64,CONTAINS,6318.0,17,0.0
147,79,CONTAINS,10204.24,13,0.0
148,37,CONTAINS,9857.63,19,0.05
149,27,CONTAINS,8465.63,4,0.0
149,32,CONTAINS,1807.86,18,0.0
149,59,CONTAINS,5229.49,20,0.2
149,72,CONTAINS,6057.1,3,0.2
150,16,CONTAINS,8378.64,16,0.0
150,17,CONTAINS,8524.37,20,0.15
150,39,CONTAINS,1739.75,19,0.05
150,81,CONTAINS,1455.23,19,0.05
150,85,CONTAINS,1566.58,20,0.2
151,3,CONTAINS,8954.8,2,0.1
151,65,CONTAINS,6670.94,10,0.05
152,62,CONTAINS,8782.15,6,0.0
153,53,CONTAINS,3106.49,14,0.05
154,12,CONTAINS,9574.33,13,0.2
154,22,CONTAINS,7530.65,8,0.05
154,52,CONTAINS,5882.28,7,0.1
154,89,CONTAINS,9533.72,12,0.2
154,100,CONTAINS,8744.82,3,0.2
155,8,CONTAINS,9336.25,2,0.15
155,81,CONTAINS,1471.63,3,0.1
155,87,CONTAINS,3345.59,2,0.1
155,95,CONTAINS,8317.48,1,0.1
155,97,CONTAINS,9332.23,15,0.1
156,11,CONTAINS,4428.86,19,0.15
156,59,CONTAINS,5231.35,13,0.05
156,73,CONTAINS,246.5,6,0.2
156,74,CONTAINS,2330.54,5,0.2
156,79,CONTAINS,9427.18,7,0.05
157,11,CONTAINS,4743.2,8,0.05
158,26,CONTAINS,8070.7,17,0.1
158,37,CONTAINS,10054.19,14,0.1
158,50,CONTAINS,10080.32,8,0.1
158,65,CONTAINS,6216.53,11,0.15
158,92,CONTAINS,8844.93,20,0.0
159,4,CONTAINS,10243.48,5,0.15
159,45,CONTAINS,7099.78,6,0.0
160,9,CONTAINS,6575.72,5,0.0
160,68,CONTAINS,3842.1,9,0.0
161,79,CONTAINS,9702.9,4,0.0
162,99,CONTAINS,1738.68,5,0.15
163,78,CONTAINS,5312.77,17,0.05
164,2,CONTAINS,9976.24,12,0.0
164,50,CONTAINS,10178.59,20,0.0
165,4,CONTAINS,9624.64,4,0.0
165,67,CONTAINS,1579.67,8,0.1
165,95,CONTAINS,8162.79,17,0.05
166,3,CONTAINS,8576.69,4,0.15
166,96,CONTAINS,9110.08,6,0.1
166,98,CONTAINS,2621.25,5,0.0
167,68,CONTAINS,3718.6,13,0.2
167,99,CONTAINS,1635.94,2,0.2
168,56,CONTAINS,275.27,16,0.2
168,69,CONTAINS,4235.53,4,0.15
169,27,CONTAINS,8144.31,10,0.2
169,36,CONTAINS,9023.21,5,0.05
169,59,CONTAINS,5476.41,2,0.0
169,71,CONTAINS,6277.95,8,0.05
170,9,CONTAINS,6958.26,12,0.05
170,35,CONTAINS,3197.35,5,0.2
170,48,CONTAINS,846.74,3,0.05
171,35,CONTAINS,3095.9,14,0.0
171,38,CONTAINS,4396.92,2,0.2
171,52,CONTAINS,6000.59,5,0.05
171,93,CONTAINS,5440.85,14,0.0
171,101,CONTAINS,1713.31,5,0.15
172,72,CONTAINS,6485.58,15,0.1
172,87,CONTAINS,3340.23,16,0.2
173,19,CONTAINS,7620.29,12,0.0
173,21,CONTAINS,2613.76,1,0.15
173,33,CONTAINS,6332.06,1,0.1
173,34,CONTAINS,7564.36,14,0.05
174,17,CONTAINS,8184.04,5,0.2
174,41,CONTAINS,9450.61,8,0.0
174,75,CONTAINS,9291.86,7,0.1
174,78,CONTAINS,4892.55,14,0.0
175,75,CONTAINS,8870.3,9,0.0
176,22,CONTAINS,7471.6,12,0.0
177,8,CONTAINS,9421.83,16,0.05
177,35,CONTAINS,3330.3,20,0.2
177,54,CONTAINS,7235.2,3,0.0
177,66,CONTAINS,9067.43,8,0.0
178,15,CONTAINS,6311.97,18,0.15
178,60,CONTAINS,2336.63,10,0.1
178,63,CONTAINS,9337.88,3,0.1
178,82,CONTAINS,6914.71,6,0.05
178,88,CONTAINS,4669.35,20,0.05
179,24,CONTAINS,6875.5,13,0.1
180,69,CONTAINS,3950.62,7,0.15
181,76,CONTAINS,7418.32,11,0.1
182,7,CONTAINS,1059.99,19,0.0
182,18,CONTAINS,5283.73,15,0.15
183,13,CONTAINS,3533.03,10,0.05
183,43,CONTAINS,4007.54,8,0.05
184,12,CONTAINS,8844.19,19,0.15
184,27,CONTAINS,8006.27,7,0.0
185,18,CONTAINS,5290.22,18,0.1
185,22,CONTAINS,7622.94,14,0.0
185,65,CONTAINS,6418.76,4,0.2
185,88,CONTAINS,4596.29,4,0.2
185,100,CONTAINS,8156.68,7,0.2
186,8,CONTAINS,9059.45,9,0.0
186,10,CONTAINS,1794.55,16,0.15
186,24,CONTAINS,6783.01,8,0.2
186,56,CONTAINS,263.41,9,0.2
187,32,CONTAINS,1745.41,11,0.05
187,47,CONTAINS,2381.09,14,0.2
187,86,CONTAINS,8222.94,2,0.0
187,98,CONTAINS,2695.68,10,0.1
188,4,CONTAINS,10079.16,6,0.1
188,12,CONTAINS,9501.34,7,0.05
188,48,CONTAINS,782.44,14,0.2
189,2,CONTAINS,9524.37,1,0.1
189,11,CONTAINS,4785.37,6,0.0
189,36,CONTAINS,8877.21,10,0.05
189,69,CONTAINS,4166.07,1,0.1
189,90,CONTAINS,2596.22,12,0.05
190,41,CONTAINS,9184.9,7,0.15
190,53,CONTAINS,2820.14,10,0.2
190,71,CONTAINS,6512.94,2,0.15
190,88,CONTAINS,4544.14,15,0.15
191,23,CONTAINS,8538.58,3,0.1
191,26,CONTAINS,8273.32,1,0.15
191,61,CONTAINS,726.45,16,0.05
191,92,CONTAINS,9281.36,19,0.1
192,28,CONTAINS,222.78,11,0.15
193,4,CONTAINS,10169.94,6,0.0
193,7,CONTAINS,1132.08,5,0.05
193,10,CONTAINS,1818.5,9,0.15
193,23,CONTAINS,8319.34,10,0.2
193,65,CONTAINS,6266.94,3,0.1
194,10,CONTAINS,1885.34,13,0.0
194,16,CONTAINS,8308.9,3,0.0
194,31,CONTAINS,1420.61,7,0.0
194,70,CONTAINS,7720.02,2,0.2
194,72,CONTAINS,5993.13,3,0.1
195,32,CONTAINS,1790.47,1,0.0
195,50,CONTAINS,9756.85,5,0.2
195,93,CONTAINS,5627.88,2,0.1
195,96,CONTAINS,8505.17,11,0.05
196,34,CONTAINS,7045.81,12,0.05
196,53,CONTAINS,2906.3,13,0.15
197,9,CONTAINS,7042.33,13,0.15
197,56,CONTAINS,268.06,15,0.15
197,57,CONTAINS,4327.0,19,0.0
198,1,CONTAINS,7844.91,14,0.05
198,10,CONTAINS,1877.33,15,0.0
198,24,CONTAINS,6661.04,5,0.0
198,33,CONTAINS,6355.71,16,0.1
198,40,CONTAINS,6403.52,2,0.15
199,13,CONTAINS,3612.93,13,0.05
199,22,CONTAINS,7838.55,3,0.05
199,72,CONTAINS,6249.46,19,0.15
200,14,CONTAINS,7988.66,1,0.2
200,18,CONTAINS,5094.06,16,0.1
200,22,CONTAINS,7422.83,7,0.15
200,47,CONTAINS,2445.64,13,0.0
200,76,CONTAINS,7388.16,13,0.1
201,23,CONTAINS,8858.37,4,0.0
202,7,CONTAINS,1113.06,9,0.1
202,15,CONTAINS,6040.27,7,0.2
202,61,CONTAINS,752.14,8,0.0
202,99,CONTAINS,1706.58,19,0.0
203,11,CONTAINS,4494.38,14,0.1
203,53,CONTAINS,3098.99,15,0.0
203,62,CONTAINS,8638.33,1,0.05
203,64,CONTAINS,5866.72,14,0.2
203,87,CONTAINS,3456.55,12,0.15
204,26,CONTAINS,8232.68,20,0.0
204,69,CONTAINS,4120.19,7,0.2
204,77,CONTAINS,6665.37,1,0.2
205,41,CONTAINS,9110.14,20,0.05
205,76,CONTAINS,7675.59,15,0.1
205,93,CONTAINS,5502.76,8,0.15
206,81,CONTAINS,1426.7,8,0.0
207,3,CONTAINS,8612.65,16,0.05
207,22,CONTAINS,7452.61,4,0.2
207,91,CONTAINS,3142.73,11,0.05
208,24,CONTAINS,6940.2,1,0.15
208,37,CONTAINS,9820.65,1,0.15
208,48,CONTAINS,828.42,16,0.0
208,73,CONTAINS,267.79,7,0.1
208,99,CONTAINS,1629.92,10,0.1
209,25,CONTAINS,9205.6,20,0.2
209,55,CONTAINS,7079.26,9,0.2
209,69,CONTAINS,4106.95,9,0.0
209,79,CONTAINS,9489.87,14,0.0
209,94,CONTAINS,9576.06,12,0.15
210,23,CONTAINS,8348.47,15,0.2
210,41,CONTAINS,9217.35,13,0.0
210,53,CONTAINS,2984.89,12,0.2
210,69,CONTAINS,4223.39,17,0.2
