:START_ID(Review),:END_ID(Product),:TYPE
854,62,ABOUT
64,100,ABOUT
395,27,ABOUT
1189,64,ABOUT
197,99,ABOUT
312,82,ABOUT
595,47,ABOUT
607,13,ABOUT
357,7,ABOUT
76,84,ABOUT
105,23,ABOUT
292,75,ABOUT
298,40,ABOUT
777,20,ABOUT
940,34,ABOUT
1261,22,ABOUT
338,26,ABOUT
568,13,ABOUT
1099,48,ABOUT
196,43,ABOUT
560,56,ABOUT
955,51,ABOUT
1026,62,ABOUT
439,9,ABOUT
45,79,ABOUT
903,79,ABOUT
1081,21,ABOUT
8,32,ABOUT
451,73,ABOUT
1255,6,ABOUT
316,45,ABOUT
3,52,ABOUT
18,2,ABOUT
247,95,ABOUT
1136,52,ABOUT
552,58,ABOUT
744,25,ABOUT
878,52,ABOUT
441,58,ABOUT
666,25,ABOUT
86,57,ABOUT
392,3,ABOUT
446,24,ABOUT
700,53,ABOUT
674,83,ABOUT
684,62,ABOUT
1114,65,ABOUT
685,1,ABOUT
1054,8,ABOUT
1210,24,ABOUT
1236,91,ABOUT
248,14,ABOUT
1062,91,ABOUT
1153,54,ABOUT
126,42,ABOUT
339,68,ABOUT
580,75,ABOUT
541,19,ABOUT
736,80,ABOUT
941,79,ABOUT
1292,18,ABOUT
21,49,ABOUT
325,93,ABOUT
734,15,ABOUT
2,101,ABOUT
502,69,ABOUT
649,71,ABOUT
866,50,ABOUT
1246,17,ABOUT
224,61,ABOUT
38,59,ABOUT
311,5,ABOUT
5,96,ABOUT
211,96,ABOUT
322,43,ABOUT
62,57,ABOUT
664,36,ABOUT
1286,50,ABOUT
426,56,ABOUT
479,44,ABOUT
1032,12,ABOUT
1112,6,ABOUT
140,74,ABOUT
879,39,ABOUT
689,85,ABOUT
60,41,ABOUT
836,15,ABOUT
1142,55,ABOUT
1174,72,ABOUT
352,92,ABOUT
1113,18,ABOUT
912,26,ABOUT
106,79,ABOUT
1010,44,ABOUT
442,53,ABOUT
951,40,ABOUT
34,57,ABOUT
1103,20,ABOUT
55,18,ABOUT
389,57,ABOUT
497,22,ABOUT
648,58,ABOUT
686,20,ABOUT
228,65,ABOUT
1077,30,ABOUT
225,92,ABOUT
457,68,ABOUT
423,53,ABOUT
1147,95,ABOUT
245,37,ABOUT
642,21,ABOUT
1016,70,ABOUT
255,24,ABOUT
855,64,ABOUT
1073,4,ABOUT
639,69,ABOUT
1188,101,ABOUT
162,26,ABOUT
72,67,ABOUT
199,23,ABOUT
806,38,ABOUT
418,37,ABOUT
838,63,ABOUT
914,66,ABOUT
891,50,ABOUT
1027,56,ABOUT
691,8,ABOUT
1275,46,ABOUT
1314,64,ABOUT
238,38,ABOUT
1042,50,ABOUT
317,62,ABOUT
1197,23,ABOUT
1306,57,ABOUT
46,62,ABOUT
584,57,ABOUT
29,4,ABOUT
297,62,ABOUT
562,64,ABOUT
1266,89,ABOUT
933,92,ABOUT
419,92,ABOUT
99,1,ABOUT
1193,21,ABOUT
114,81,ABOUT
170,43,ABOUT
1116,73,ABOUT
578,58,ABOUT
138,83,ABOUT
1216,30,ABOUT
271,73,ABOUT
783,79,ABOUT
964,99,ABOUT
673,11,ABOUT
1017,8,ABOUT
1097,13,ABOUT
1158,36,ABOUT
1200,92,ABOUT
687,97,ABOUT
1134,15,ABOUT
1208,5,ABOUT
713,73,ABOUT
472,101,ABOUT
555,79,ABOUT
792,69,ABOUT
1133,1,ABOUT
1287,20,ABOUT
351,98,ABOUT
407,36,ABOUT
438,23,ABOUT
445,65,ABOUT
716,65,ABOUT
1083,61,ABOUT
125,31,ABOUT
324,52,ABOUT
1030,70,ABOUT
232,51,ABOUT
772,3,ABOUT
112,21,ABOUT
302,61,ABOUT
506,59,ABOUT
893,28,ABOUT
976,34,ABOUT
150,98,ABOUT
808,95,ABOUT
1024,73,ABOUT
1149,70,ABOUT
1254,5,ABOUT
829,75,ABOUT
71,34,ABOUT
590,38,ABOUT
612,68,ABOUT
965,25,ABOUT
216,3,ABOUT
157,50,ABOUT
621,79,ABOUT
536,48,ABOUT
654,71,ABOUT
811,66,ABOUT
848,83,ABOUT
858,57,ABOUT
306,3,ABOUT
1119,59,ABOUT
802,11,ABOUT
147,71,ABOUT
464,12,ABOUT
24,58,ABOUT
852,81,ABOUT
14,45,ABOUT
1269,13,ABOUT
146,85,ABOUT
222,42,ABOUT
833,83,ABOUT
1310,53,ABOUT
37,20,ABOUT
54,36,ABOUT
726,63,ABOUT
830,61,ABOUT
1018,56,ABOUT
1019,61,ABOUT
1061,101,ABOUT
913,67,ABOUT
1092,54,ABOUT
1141,27,ABOUT
1088,73,ABOUT
1168,75,ABOUT
779,47,ABOUT
915,70,ABOUT
1264,46,ABOUT
489,38,ABOUT
510,26,ABOUT
529,14,ABOUT
490,16,ABOUT
556,50,ABOUT
1000,86,ABOUT
336,76,ABOUT
611,84,ABOUT
793,63,ABOUT
258,48,ABOUT
378,63,ABOUT
401,11,ABOUT
107,79,ABOUT
355,63,ABOUT
962,23,ABOUT
1004,5,ABOUT
708,74,ABOUT
987,10,ABOUT
785,21,ABOUT
1013,38,ABOUT
15,60,ABOUT
984,43,ABOUT
52,95,ABOUT
768,94,ABOUT
781,97,ABOUT
698,88,ABOUT
748,86,ABOUT
1289,87,ABOUT
534,65,ABOUT
623,29,ABOUT
627,38,ABOUT
971,40,ABOUT
56,11,ABOUT
704,27,ABOUT
331,88,ABOUT
857,59,ABOUT
1058,67,ABOUT
1248,83,ABOUT
1282,37,ABOUT
215,21,ABOUT
315,53,ABOUT
901,75,ABOUT
870,37,ABOUT
1106,48,ABOUT
920,41,ABOUT
681,31,ABOUT
1180,88,ABOUT
26,30,ABOUT
518,35,ABOUT
817,93,ABOUT
265,29,ABOUT
922,1,ABOUT
1184,45,ABOUT
1300,41,ABOUT
1260,93,ABOUT
10,12,ABOUT
405,57,ABOUT
1165,38,ABOUT
119,50,ABOUT
304,19,ABOUT
376,96,ABOUT
652,14,ABOUT
723,97,ABOUT
860,67,ABOUT
943,25,ABOUT
203,71,ABOUT
1290,41,ABOUT
512,3,ABOUT
1139,71,ABOUT
470,12,ABOUT
173,97,ABOUT
714,96,ABOUT
801,50,ABOUT
895,34,ABOUT
1070,11,ABOUT
227,16,ABOUT
585,66,ABOUT
938,57,ABOUT
13,58,ABOUT
282,31,ABOUT
894,44,ABOUT
1065,27,ABOUT
549,57,ABOUT
431,75,ABOUT
841,71,ABOUT
110,78,ABOUT
448,57,ABOUT
214,42,ABOUT
1043,22,ABOUT
757,40,ABOUT
1037,60,ABOUT
354,62,ABOUT
1028,71,ABOUT
387,56,ABOUT
628,1,ABOUT
970,63,ABOUT
990,29,ABOUT
1166,94,ABOUT
61,98,ABOUT
825,84,ABOUT
662,30,ABOUT
948,16,ABOUT
1109,37,ABOUT
626,50,ABOUT
494,10,ABOUT
68,50,ABOUT
482,6,ABOUT
309,44,ABOUT
48,45,ABOUT
579,25,ABOUT
394,51,ABOUT
696,86,ABOUT
856,92,ABOUT
1038,82,ABOUT
39,72,ABOUT
863,100,ABOUT
993,91,ABOUT
575,97,ABOUT
1155,26,ABOUT
1177,58,ABOUT
1309,17,ABOUT
515,101,ABOUT
782,63,ABOUT
474,73,ABOUT
897,7,ABOUT
251,33,ABOUT
291,58,ABOUT
625,34,ABOUT
819,49,ABOUT
241,53,ABOUT
928,32,ABOUT
294,29,ABOUT
703,32,ABOUT
945,18,ABOUT
1313,8,ABOUT
1256,38,ABOUT
206,49,ABOUT
250,91,ABOUT
455,35,ABOUT
573,30,ABOUT
50,8,ABOUT
476,101,ABOUT
821,37,ABOUT
70,91,ABOUT
326,25,ABOUT
1154,94,ABOUT
252,76,ABOUT
459,18,ABOUT
390,30,ABOUT
343,35,ABOUT
386,12,ABOUT
523,100,ABOUT
936,23,ABOUT
240,42,ABOUT
1211,43,ABOUT
1299,66,ABOUT
356,33,ABOUT
384,79,ABOUT
565,25,ABOUT
786,77,ABOUT
130,94,ABOUT
519,70,ABOUT
707,100,ABOUT
747,28,ABOUT
129,36,ABOUT
530,71,ABOUT
711,75,ABOUT
967,88,ABOUT
131,44,ABOUT
301,26,ABOUT
321,22,ABOUT
341,65,ABOUT
66,36,ABOUT
94,62,ABOUT
327,10,ABOUT
521,98,ABOUT
1164,28,ABOUT
606,26,ABOUT
887,82,ABOUT
773,5,ABOUT
329,23,ABOUT
491,8,ABOUT
148,83,ABOUT
187,36,ABOUT
635,64,ABOUT
1085,89,ABOUT
1100,40,ABOUT
450,60,ABOUT
905,97,ABOUT
1060,28,ABOUT
739,77,ABOUT
740,64,ABOUT
919,46,ABOUT
1243,8,ABOUT
84,15,ABOUT
937,45,ABOUT
202,31,ABOUT
1101,2,ABOUT
22,47,ABOUT
359,66,ABOUT
430,27,ABOUT
789,6,ABOUT
226,56,ABOUT
1046,11,ABOUT
1009,23,ABOUT
669,76,ABOUT
680,33,ABOUT
1087,10,ABOUT
413,94,ABOUT
58,51,ABOUT
1082,90,ABOUT
1284,5,ABOUT
361,94,ABOUT
85,64,ABOUT
210,18,ABOUT
74,51,ABOUT
429,67,ABOUT
433,4,ABOUT
923,88,ABOUT
28,39,ABOUT
53,54,ABOUT
200,8,ABOUT
477,63,ABOUT
823,38,ABOUT
11,33,ABOUT
511,21,ABOUT
576,37,ABOUT
718,71,ABOUT
368,84,ABOUT
261,54,ABOUT
348,42,ABOUT
533,69,ABOUT
1040,46,ABOUT
550,78,ABOUT
844,60,ABOUT
1096,44,ABOUT
969,46,ABOUT
116,2,ABOUT
307,25,ABOUT
67,20,ABOUT
408,100,ABOUT
44,48,ABOUT
597,79,ABOUT
780,90,ABOUT
1053,87,ABOUT
750,76,ABOUT
850,96,ABOUT
1241,45,ABOUT
59,90,ABOUT
208,69,ABOUT
610,12,ABOUT
699,68,ABOUT
296,50,ABOUT
314,26,ABOUT
839,33,ABOUT
898,59,ABOUT
822,28,ABOUT
1074,20,ABOUT
1111,7,ABOUT
671,96,ABOUT
572,83,ABOUT
582,10,ABOUT
738,11,ABOUT
1225,33,ABOUT
790,5,ABOUT
385,31,ABOUT
527,36,ABOUT
122,25,ABOUT
501,77,ABOUT
1198,70,ABOUT
1302,63,ABOUT
613,62,ABOUT
333,5,ABOUT
591,44,ABOUT
1126,2,ABOUT
1304,69,ABOUT
1293,79,ABOUT
616,32,ABOUT
1303,6,ABOUT
262,2,ABOUT
1098,2,ABOUT
204,32,ABOUT
624,99,ABOUT
350,88,ABOUT
1064,11,ABOUT
221,16,ABOUT
223,92,ABOUT
1107,92,ABOUT
391,49,ABOUT
1298,24,ABOUT
1311,29,ABOUT
820,31,ABOUT
468,55,ABOUT
543,65,ABOUT
42,81,ABOUT
174,98,ABOUT
362,94,ABOUT
559,73,ABOUT
622,2,ABOUT
558,41,ABOUT
644,21,ABOUT
886,76,ABOUT
279,33,ABOUT
755,39,ABOUT
79,47,ABOUT
377,30,ABOUT
630,88,ABOUT
668,19,ABOUT
871,96,ABOUT
997,50,ABOUT
1271,8,ABOUT
260,21,ABOUT
136,19,ABOUT
205,75,ABOUT
1288,96,ABOUT
178,87,ABOUT
547,99,ABOUT
722,74,ABOUT
1182,63,ABOUT
675,65,ABOUT
1066,1,ABOUT
1179,82,ABOUT
487,32,ABOUT
1296,75,ABOUT
1262,7,ABOUT
1069,56,ABOUT
218,32,ABOUT
400,51,ABOUT
934,52,ABOUT
1308,5,ABOUT
872,48,ABOUT
1115,15,ABOUT
410,38,ABOUT
1076,30,ABOUT
1226,40,ABOUT
165,38,ABOUT
397,77,ABOUT
931,81,ABOUT
33,63,ABOUT
280,79,ABOUT
795,27,ABOUT
1280,47,ABOUT
989,31,ABOUT
1118,5,ABOUT
1110,15,ABOUT
402,2,ABOUT
209,9,ABOUT
598,46,ABOUT
712,93,ABOUT
761,19,ABOUT
868,64,ABOUT
109,45,ABOUT
135,52,ABOUT
771,11,ABOUT
1135,35,ABOUT
63,96,ABOUT
264,66,ABOUT
720,47,ABOUT
733,32,ABOUT
1131,84,ABOUT
1185,10,ABOUT
1272,14,ABOUT
151,91,ABOUT
195,60,ABOUT
242,74,ABOUT
293,8,ABOUT
380,48,ABOUT
415,101,ABOUT
528,101,ABOUT
1263,32,ABOUT
977,66,ABOUT
539,85,ABOUT
846,30,ABOUT
1219,54,ABOUT
318,81,ABOUT
1181,13,ABOUT
588,93,ABOUT
888,84,ABOUT
358,54,ABOUT
764,51,ABOUT
570,80,ABOUT
103,81,ABOUT
124,96,ABOUT
158,43,ABOUT
719,7,ABOUT
1012,64,ABOUT
1222,97,ABOUT
695,23,ABOUT
1274,10,ABOUT
81,59,ABOUT
137,44,ABOUT
1039,1,ABOUT
911,7,ABOUT
1307,59,ABOUT
729,44,ABOUT
236,77,ABOUT
363,88,ABOUT
1218,10,ABOUT
1176,79,ABOUT
706,44,ABOUT
1265,16,ABOUT
141,96,ABOUT
370,9,ABOUT
589,44,ABOUT
756,52,ABOUT
207,62,ABOUT
344,76,ABOUT
775,59,ABOUT
43,49,ABOUT
276,72,ABOUT
1217,15,ABOUT
1215,92,ABOUT
1108,76,ABOUT
96,82,ABOUT
367,79,ABOUT
791,63,ABOUT
458,9,ABOUT
574,42,ABOUT
581,65,ABOUT
267,45,ABOUT
507,51,ABOUT
892,30,ABOUT
1234,84,ABOUT
17,25,ABOUT
818,38,ABOUT
979,66,ABOUT
1057,70,ABOUT
485,83,ABOUT
876,57,ABOUT
640,50,ABOUT
665,43,ABOUT
751,39,ABOUT
1049,64,ABOUT
69,46,ABOUT
553,60,ABOUT
461,5,ABOUT
1068,101,ABOUT
465,101,ABOUT
657,32,ABOUT
904,9,ABOUT
908,31,ABOUT
308,19,ABOUT
366,39,ABOUT
496,39,ABOUT
1002,64,ABOUT
634,47,ABOUT
651,18,ABOUT
862,7,ABOUT
92,84,ABOUT
144,46,ABOUT
690,28,ABOUT
859,25,ABOUT
867,1,ABOUT
728,86,ABOUT
812,26,ABOUT
724,62,ABOUT
995,53,ABOUT
120,29,ABOUT
185,66,ABOUT
1022,16,ABOUT
194,94,ABOUT
115,88,ABOUT
1229,49,ABOUT
1201,71,ABOUT
47,86,ABOUT
798,46,ABOUT
935,41,ABOUT
1034,35,ABOUT
1048,33,ABOUT
1242,36,ABOUT
619,43,ABOUT
25,41,ABOUT
531,53,ABOUT
1252,73,ABOUT
1273,51,ABOUT
1231,63,ABOUT
650,47,ABOUT
885,64,ABOUT
27,87,ABOUT
278,44,ABOUT
975,91,ABOUT
437,94,ABOUT
805,71,ABOUT
172,71,ABOUT
563,58,ABOUT
1192,54,ABOUT
286,74,ABOUT
853,15,ABOUT
1204,46,ABOUT
193,17,ABOUT
803,3,ABOUT
978,73,ABOUT
1278,95,ABOUT
909,53,ABOUT
1172,5,ABOUT
1093,98,ABOUT
592,34,ABOUT
677,35,ABOUT
1122,45,ABOUT
1143,51,ABOUT
994,59,ABOUT
323,85,ABOUT
981,54,ABOUT
330,39,ABOUT
342,6,ABOUT
177,66,ABOUT
295,45,ABOUT
732,10,ABOUT
139,12,ABOUT
403,37,ABOUT
78,22,ABOUT
554,71,ABOUT
796,32,ABOUT
633,101,ABOUT
942,80,ABOUT
82,7,ABOUT
693,11,ABOUT
217,55,ABOUT
1117,90,ABOUT
902,73,ABOUT
932,45,ABOUT
1213,60,ABOUT
847,35,ABOUT
991,26,ABOUT
77,18,ABOUT
167,66,ABOUT
1223,5,ABOUT
532,39,ABOUT
1233,10,ABOUT
705,57,ABOUT
727,69,ABOUT
809,47,ABOUT
1006,24,ABOUT
31,10,ABOUT
443,90,ABOUT
743,99,ABOUT
1175,89,ABOUT
486,10,ABOUT
992,92,ABOUT
164,23,ABOUT
237,93,ABOUT
799,25,ABOUT
526,6,ABOUT
179,34,ABOUT
1152,27,ABOUT
824,50,ABOUT
269,87,ABOUT
594,74,ABOUT
983,36,ABOUT
1285,95,ABOUT
1171,26,ABOUT
65,88,ABOUT
516,5,ABOUT
679,19,ABOUT
899,78,ABOUT
246,99,ABOUT
1281,95,ABOUT
832,100,ABOUT
1035,54,ABOUT
123,68,ABOUT
1294,23,ABOUT
243,18,ABOUT
505,66,ABOUT
602,97,ABOUT
754,11,ABOUT
239,31,ABOUT
1051,34,ABOUT
128,88,ABOUT
593,13,ABOUT
907,3,ABOUT
163,93,ABOUT
810,85,ABOUT
831,11,ABOUT
1156,90,ABOUT
1157,41,ABOUT
488,35,ABOUT
1071,47,ABOUT
1084,47,ABOUT
682,5,ABOUT
1063,74,ABOUT
191,34,ABOUT
346,28,ABOUT
661,68,ABOUT
840,78,ABOUT
749,27,ABOUT
787,87,ABOUT
1145,50,ABOUT
4,61,ABOUT
201,62,ABOUT
381,93,ABOUT
629,15,ABOUT
508,47,ABOUT
717,62,ABOUT
475,73,ABOUT
480,59,ABOUT
416,29,ABOUT
184,3,ABOUT
1008,98,ABOUT
1160,5,ABOUT
1,53,ABOUT
478,99,ABOUT
986,30,ABOUT
127,12,ABOUT
980,100,ABOUT
1183,88,ABOUT
1187,25,ABOUT
347,2,ABOUT
954,98,ABOUT
600,32,ABOUT
826,68,ABOUT
91,44,ABOUT
108,99,ABOUT
760,27,ABOUT
1089,3,ABOUT
213,19,ABOUT
412,15,ABOUT
688,9,ABOUT
310,99,ABOUT
538,20,ABOUT
647,78,ABOUT
656,97,ABOUT
918,58,ABOUT
1170,59,ABOUT
40,22,ABOUT
745,85,ABOUT
835,30,ABOUT
449,52,ABOUT
1140,5,ABOUT
188,67,ABOUT
638,72,ABOUT
988,87,ABOUT
1079,101,ABOUT
132,8,ABOUT
319,80,ABOUT
715,90,ABOUT
861,34,ABOUT
864,92,ABOUT
769,53,ABOUT
925,19,ABOUT
473,43,ABOUT
1005,18,ABOUT
249,47,ABOUT
571,82,ABOUT
947,91,ABOUT
973,76,ABOUT
1270,48,ABOUT
83,43,ABOUT
816,1,ABOUT
1011,75,ABOUT
340,59,ABOUT
1186,27,ABOUT
349,95,ABOUT
921,49,ABOUT
337,28,ABOUT
495,12,ABOUT
272,29,ABOUT
646,68,ABOUT
814,35,ABOUT
189,27,ABOUT
930,72,ABOUT
1245,87,ABOUT
289,101,ABOUT
462,42,ABOUT
709,68,ABOUT
742,46,ABOUT
958,66,ABOUT
982,28,ABOUT
320,4,ABOUT
873,18,ABOUT
1130,79,ABOUT
1221,31,ABOUT
1277,21,ABOUT
335,18,ABOUT
548,31,ABOUT
636,22,ABOUT
770,98,ABOUT
946,7,ABOUT
950,71,ABOUT
1138,1,ABOUT
614,72,ABOUT
645,63,ABOUT
881,11,ABOUT
229,31,ABOUT
427,60,ABOUT
454,23,ABOUT
599,11,ABOUT
1029,75,ABOUT
1121,69,ABOUT
1253,69,ABOUT
80,32,ABOUT
959,36,ABOUT
51,73,ABOUT
759,10,ABOUT
95,26,ABOUT
807,56,ABOUT
815,79,ABOUT
142,39,ABOUT
1050,86,ABOUT
133,44,ABOUT
233,32,ABOUT
190,40,ABOUT
492,80,ABOUT
493,77,ABOUT
767,95,ABOUT
1297,70,ABOUT
1312,2,ABOUT
917,101,ABOUT
587,33,ABOUT
1257,43,ABOUT
181,73,ABOUT
509,31,ABOUT
524,20,ABOUT
875,31,ABOUT
985,97,ABOUT
1104,26,ABOUT
670,27,ABOUT
453,85,ABOUT
382,58,ABOUT
927,68,ABOUT
1173,60,ABOUT
828,9,ABOUT
889,41,ABOUT
101,21,ABOUT
653,97,ABOUT
916,20,ABOUT
41,39,ABOUT
399,42,ABOUT
924,55,ABOUT
417,34,ABOUT
566,24,ABOUT
1014,27,ABOUT
300,61,ABOUT
966,80,ABOUT
149,73,ABOUT
784,31,ABOUT
1167,7,ABOUT
631,92,ABOUT
57,75,ABOUT
253,33,ABOUT
393,11,ABOUT
169,67,ABOUT
953,50,ABOUT
90,9,ABOUT
968,85,ABOUT
1127,10,ABOUT
1239,8,ABOUT
753,6,ABOUT
999,94,ABOUT
583,98,ABOUT
609,38,ABOUT
544,10,ABOUT
6,97,ABOUT
102,75,ABOUT
1228,30,ABOUT
1259,34,ABOUT
800,89,ABOUT
1080,8,ABOUT
672,4,ABOUT
1123,32,ABOUT
561,17,ABOUT
1120,34,ABOUT
118,77,ABOUT
849,11,ABOUT
111,101,ABOUT
153,53,ABOUT
231,52,ABOUT
440,8,ABOUT
1041,18,ABOUT
414,6,ABOUT
641,52,ABOUT
746,50,ABOUT
974,98,ABOUT
32,92,ABOUT
263,43,ABOUT
154,48,ABOUT
143,99,ABOUT
845,47,ABOUT
504,89,ABOUT
514,61,ABOUT
303,66,ABOUT
1055,7,ABOUT
182,26,ABOUT
328,3,ABOUT
637,52,ABOUT
1305,97,ABOUT
1194,28,ABOUT
1091,39,ABOUT
620,91,ABOUT
1267,30,ABOUT
145,25,ABOUT
432,84,ABOUT
776,72,ABOUT
884,27,ABOUT
89,72,ABOUT
244,100,ABOUT
522,13,ABOUT
1102,4,ABOUT
1129,95,ABOUT
447,61,ABOUT
731,19,ABOUT
890,53,ABOUT
1056,71,ABOUT
1249,2,ABOUT
254,5,ABOUT
436,72,ABOUT
741,19,ABOUT
156,62,ABOUT
540,80,ABOUT
1036,71,ABOUT
198,58,ABOUT
452,32,ABOUT
752,54,ABOUT
758,17,ABOUT
1003,64,ABOUT
1033,83,ABOUT
12,60,ABOUT
957,14,ABOUT
1124,27,ABOUT
617,20,ABOUT
1078,24,ABOUT
1086,37,ABOUT
1191,22,ABOUT
155,35,ABOUT
159,84,ABOUT
906,24,ABOUT
1207,18,ABOUT
1251,2,ABOUT
97,34,ABOUT
632,99,ABOUT
813,39,ABOUT
1169,55,ABOUT
275,56,ABOUT
435,100,ABOUT
545,78,ABOUT
1268,83,ABOUT
334,4,ABOUT
542,46,ABOUT
874,9,ABOUT
456,76,ABOUT
481,21,ABOUT
683,64,ABOUT
676,84,ABOUT
100,61,ABOUT
535,36,ABOUT
557,3,ABOUT
910,79,ABOUT
93,69,ABOUT
567,81,ABOUT
175,97,ABOUT
219,51,ABOUT
256,43,ABOUT
469,35,ABOUT
290,96,ABOUT
373,73,ABOUT
104,63,ABOUT
285,78,ABOUT
288,43,ABOUT
483,95,ABOUT
513,7,ABOUT
618,51,ABOUT
882,3,ABOUT
1159,6,ABOUT
257,99,ABOUT
797,45,ABOUT
1031,15,ABOUT
23,44,ABOUT
35,20,ABOUT
313,53,ABOUT
517,89,ABOUT
605,35,ABOUT
1052,38,ABOUT
1206,72,ABOUT
604,44,ABOUT
332,36,ABOUT
372,15,ABOUT
660,71,ABOUT
678,59,ABOUT
701,63,ABOUT
788,56,ABOUT
374,94,ABOUT
702,96,ABOUT
929,45,ABOUT
1105,32,ABOUT
1195,90,ABOUT
1240,25,ABOUT
284,75,ABOUT
503,101,ABOUT
421,47,ABOUT
434,98,ABOUT
900,30,ABOUT
