:START_ID(Customer),:END_ID(Order),:TYPE
MR129,486,PLACED
WQ849,487,PLACED
AK874,488,PLACED
MZ379,489,PLACED
NU012,490,PLACED
US056,491,PLACED
EM821,492,PLACED
WB209,493,PLACED
RY572,494,PLACED
MA264,495,PLACED
AY876,496,PLACED
HD242,497,PLACED
MG296,498,PLACED
GJ116,499,PLACED
XA254,500,PLACED
LU518,501,PLACED
BI759,502,PLACED
WW556,503,PLACED
FB488,504,PLACED
FC418,505,PLACED
AK874,506,PLACED
FA862,507,PLACED
GR625,508,PLACED
RV310,509,PLACED
MJ814,510,PLACED
ZU351,511,PLACED
HD242,512,PLACED
LB704,513,PLACED
EK253,514,PLACED
ZG109,515,PLACED
AU710,516,PLACED
CA470,517,PLACED
ZF801,518,PLACED
EA575,519,PLACED
QJ392,520,PLACED
MJ814,521,PLACED
RY572,522,PLACED
GC890,523,PLACED
RV310,524,PLACED
DW607,525,PLACED
NU012,526,PLACED
CS287,527,PLACED
YZ898,528,PLACED
EB652,529,PLACED
GJ116,530,PLACED
GL926,531,PLACED
BW289,532,PLACED
LB704,533,PLACED
ZF061,534,PLACED
EA575,535,PLACED
AK874,536,PLACED
MA264,537,PLACED
PJ659,538,PLACED
QL573,539,PLACED
PL616,540,PLACED
DH200,541,PLACED
VC531,542,PLACED
WY218,543,PLACED
PC764,544,PLACED
RY548,545,PLACED
GA851,546,PLACED
GR625,547,PLACED
WB890,548,PLACED
FN522,549,PLACED
ZH741,550,PLACED
TW751,551,PLACED
MR129,552,PLACED
EM821,553,PLACED
DW607,554,PLACED
QJ392,555,PLACED
BN418,556,PLACED
MR129,557,PLACED
EA575,558,PLACED
DW607,559,PLACED
II746,560,PLACED
EK253,561,PLACED
JT617,562,PLACED
EB652,563,PLACED
NQ176,564,PLACED
LU518,565,PLACED
GA851,566,PLACED
NU711,567,PLACED
RY572,568,PLACED
WY218,569,PLACED
IK721,570,PLACED
VH856,571,PLACED
VQ233,572,PLACED
RY572,573,PLACED
MJ814,574,PLACED
YZ898,575,PLACED
AU710,576,PLACED
CC657,577,PLACED
PL616,578,PLACED
AD089,579,PLACED
PL616,580,PLACED
WY218,581,PLACED
MA264,582,PLACED
FJ947,583,PLACED
QI779,584,PLACED
KS630,585,PLACED
QJ392,586,PLACED
XO649,587,PLACED
FN522,588,PLACED
BI759,589,PLACED
ZG109,590,PLACED
WY218,591,PLACED
PS740,592,PLACED
TE207,593,PLACED
BW289,594,PLACED
FA862,595,PLACED
ZF061,596,PLACED
FN522,597,PLACED
UY980,598,PLACED
BN418,599,PLACED
DV182,600,PLACED
FA862,601,PLACED
RG743,602,PLACED
TO444,603,PLACED
MJ814,604,PLACED
JT617,605,PLACED
MG296,606,PLACED
VX147,607,PLACED
AD089,608,PLACED
CZ861,609,PLACED
XW046,610,PLACED
US056,611,PLACED
RY572,612,PLACED
YZ898,613,PLACED
NQ176,614,PLACED
WY218,615,PLACED
ZH741,616,PLACED
CM245,617,PLACED
AW347,618,PLACED
PE529,619,PLACED
VQ233,620,PLACED
DX151,621,PLACED
JT617,622,PLACED
CS287,623,PLACED
DX151,624,PLACED
XW046,625,PLACED
XN875,626,PLACED
BI759,627,PLACED
ZG109,628,PLACED
TW751,629,PLACED
XA254,630,PLACED
EA575,631,PLACED
GR729,632,PLACED
IP471,633,PLACED
WW556,634,PLACED
ZV584,635,PLACED
JT617,636,PLACED
ZF801,637,PLACED
GL926,638,PLACED
YZ898,639,PLACED
AK874,640,PLACED
BW289,641,PLACED
AU710,642,PLACED
EU335,643,PLACED
WB209,644,PLACED
AU710,645,PLACED
EA575,646,PLACED
KS630,647,PLACED
OA831,648,PLACED
AK874,649,PLACED
EM821,650,PLACED
QJ392,651,PLACED
EA575,652,PLACED
US056,653,PLACED
FB488,654,PLACED
NU012,655,PLACED
ZU351,656,PLACED
BN418,657,PLACED
TO444,658,PLACED
RV310,659,PLACED
ZO854,660,PLACED
MG296,661,PLACED
MJ814,662,PLACED
LB704,663,PLACED
PV664,664,PLACED
YR398,665,PLACED
GC890,666,PLACED
BW289,667,PLACED
AD089,668,PLACED
FJ947,669,PLACED
NU711,670,PLACED
II746,671,PLACED
GC890,672,PLACED
PJ659,673,PLACED
OA831,674,PLACED
MJ814,675,PLACED
TB616,676,PLACED
IK721,677,PLACED
PJ659,678,PLACED
II746,679,PLACED
DX151,680,PLACED
US056,681,PLACED
IP471,682,PLACED
OA831,683,PLACED
CA470,684,PLACED
PS740,685,PLACED
CM245,686,PLACED
MA264,687,PLACED
MJ814,688,PLACED
MJ814,689,PLACED
PE529,690,PLACED
MZ379,691,PLACED
PJ659,692,PLACED
BW289,693,PLACED
BP732,694,PLACED
ZO854,695,PLACED
YZ898,696,PLACED
US056,697,PLACED
ME428,698,PLACED
EK253,699,PLACED
IK721,700,PLACED
FJ947,701,PLACED
FJ947,702,PLACED
IK721,703,PLACED
DX151,704,PLACED
ZF801,705,PLACED
YZ898,706,PLACED
NU012,707,PLACED
TO444,708,PLACED
US056,709,PLACED
AD089,710,PLACED
GL926,711,PLACED
HD242,712,PLACED
RV310,713,PLACED
EI532,714,PLACED
XA075,715,PLACED
QJ392,716,PLACED
GC890,717,PLACED
MA264,718,PLACED
MR129,719,PLACED
CS287,720,PLACED
II746,721,PLACED
PV664,722,PLACED
CA470,723,PLACED
VZ702,724,PLACED
EM821,725,PLACED
VH856,726,PLACED
UY980,727,PLACED
BP732,728,PLACED
NU012,729,PLACED
YR398,730,PLACED
ZO854,731,PLACED
ZH741,732,PLACED
FB488,733,PLACED
ZH741,734,PLACED
PE529,735,PLACED
KM929,736,PLACED
YR398,737,PLACED
QI779,738,PLACED
RY548,739,PLACED
WW556,740,PLACED
NU711,741,PLACED
EA575,742,PLACED
PV664,743,PLACED
PJ659,744,PLACED
CA470,745,PLACED
GJ116,746,PLACED
VH856,747,PLACED
PS740,748,PLACED
FN522,749,PLACED
VZ702,750,PLACED
BP732,751,PLACED
FB488,752,PLACED
FN522,753,PLACED
YZ898,754,PLACED
VH856,755,PLACED
TO444,756,PLACED
RY572,757,PLACED
WQ849,758,PLACED
MR129,759,PLACED
ZO854,760,PLACED
YZ898,761,PLACED
WB209,762,PLACED
GJ116,763,PLACED
GL926,764,PLACED
XA075,765,PLACED
WY218,766,PLACED
GL926,767,PLACED
NU012,768,PLACED
EM821,769,PLACED
QJ392,770,PLACED
FC418,771,PLACED
VX147,772,PLACED
ZG109,773,PLACED
ZG109,774,PLACED
DW607,775,PLACED
VZ702,776,PLACED
XN875,777,PLACED
EI532,778,PLACED
RV310,779,PLACED
EA575,780,PLACED
DW607,781,PLACED
FC418,782,PLACED
ZU351,783,PLACED
PL616,784,PLACED
DX151,785,PLACED
GA851,786,PLACED
EB652,787,PLACED
TW751,788,PLACED
LU518,789,PLACED
GR625,790,PLACED
PJ659,791,PLACED
CM245,792,PLACED
EB652,793,PLACED
CS287,794,PLACED
WQ849,795,PLACED
GC846,796,PLACED
QJ392,797,PLACED
RG743,798,PLACED
YR398,799,PLACED
MJ814,800,PLACED
MA264,801,PLACED
BF338,802,PLACED
DX151,803,PLACED
CA470,804,PLACED
UY980,805,PLACED
DV182,806,PLACED
IP471,807,PLACED
YZ898,808,PLACED
GR729,809,PLACED
KS630,810,PLACED
WW556,811,PLACED
WW556,812,PLACED
DV182,813,PLACED
GL926,814,PLACED
XA254,815,PLACED
PL616,816,PLACED
LB704,817,PLACED
ZV584,818,PLACED
WN094,819,PLACED
VX147,820,PLACED
MJ814,821,PLACED
AW347,822,PLACED
EK253,823,PLACED
XO649,824,PLACED
ZO854,825,PLACED
GR625,826,PLACED
AD089,827,PLACED
XN875,828,PLACED
PL616,829,PLACED
BF338,830,PLACED
BF338,831,PLACED
DH200,832,PLACED
OA831,833,PLACED
US056,834,PLACED
ME428,835,PLACED
QI779,836,PLACED
CM245,837,PLACED
DX151,838,PLACED
TE207,839,PLACED
EK253,840,PLACED
XO649,841,PLACED
VH856,842,PLACED
YZ898,843,PLACED
WB209,844,PLACED
EB652,845,PLACED
TW751,846,PLACED
IK721,847,PLACED
FA862,848,PLACED
YR398,849,PLACED
FA862,850,PLACED
GR729,851,PLACED
TO444,852,PLACED
AU710,853,PLACED
KM929,854,PLACED
ZU351,855,PLACED
PC764,856,PLACED
CS287,857,PLACED
WN094,858,PLACED
GC846,859,PLACED
QJ392,860,PLACED
ZV584,861,PLACED
CC657,862,PLACED
XA075,863,PLACED
JT617,864,PLACED
QL573,865,PLACED
WY218,866,PLACED
TO444,867,PLACED
ZU351,868,PLACED
VH856,869,PLACED
TO444,870,PLACED
AY876,871,PLACED
PC764,872,PLACED
TE207,873,PLACED
VH856,874,PLACED
CM245,875,PLACED
IP471,876,PLACED
DH200,877,PLACED
NQ176,878,PLACED
JT617,879,PLACED
RY548,880,PLACED
UY980,881,PLACED
CC657,882,PLACED
MA264,883,PLACED
BI759,884,PLACED
ME428,885,PLACED
VX147,886,PLACED
WB209,887,PLACED
LB704,888,PLACED
CM245,889,PLACED
WY218,890,PLACED
WW556,891,PLACED
WN094,892,PLACED
PJ659,893,PLACED
GJ116,894,PLACED
CA470,895,PLACED
II746,896,PLACED
BW289,897,PLACED
VZ702,898,PLACED
QJ392,899,PLACED
EI532,900,PLACED
WQ849,901,PLACED
NU711,902,PLACED
BF338,903,PLACED
FN522,904,PLACED
US056,905,PLACED
AD089,906,PLACED
NU012,907,PLACED
ZF801,908,PLACED
GR625,909,PLACED
GR625,910,PLACED
VX147,911,PLACED
RG743,912,PLACED
ME428,913,PLACED
VZ702,914,PLACED
II746,915,PLACED
QL573,916,PLACED
FN522,917,PLACED
FA862,918,PLACED
CA470,919,PLACED
VX147,920,PLACED
GJ116,921,PLACED
WB209,922,PLACED
GA851,923,PLACED
RG743,924,PLACED
ZO854,925,PLACED
RG743,926,PLACED
LB704,927,PLACED
QT258,928,PLACED
MG296,929,PLACED
PL616,930,PLACED
II746,931,PLACED
QJ392,932,PLACED
RG743,933,PLACED
AK874,934,PLACED
KS630,935,PLACED
XN875,936,PLACED
ZF801,937,PLACED
XO649,938,PLACED
BW289,939,PLACED
FB488,940,PLACED
WY218,941,PLACED
WN094,942,PLACED
CZ861,943,PLACED
BW289,944,PLACED
VX147,945,PLACED
YZ898,946,PLACED
ZU351,947,PLACED
GL926,948,PLACED
BI759,949,PLACED
EI532,950,PLACED
CC657,951,PLACED
QT258,952,PLACED
IK721,953,PLACED
ZO854,954,PLACED
VC531,955,PLACED
GC890,956,PLACED
TB616,957,PLACED
MJ814,958,PLACED
XW046,959,PLACED
BW289,960,PLACED
QL573,961,PLACED
CC657,962,PLACED
FC418,963,PLACED
II746,964,PLACED
WN094,965,PLACED
RY572,966,PLACED
PC764,967,PLACED
RG743,968,PLACED
MA264,969,PLACED
QT258,970,PLACED
NQ176,971,PLACED
TW751,972,PLACED
QU287,973,PLACED
BW289,974,PLACED
EU335,975,PLACED
AU710,976,PLACED
GL926,977,PLACED
RY572,978,PLACED
ZF061,979,PLACED
JT617,980,PLACED
DV182,981,PLACED
MR129,982,PLACED
XA254,983,PLACED
BI759,984,PLACED
NQ176,985,PLACED
VX147,986,PLACED
JT617,987,PLACED
ME428,988,PLACED
AW347,989,PLACED
EU335,990,PLACED
PJ659,991,PLACED
QJ392,992,PLACED
FN522,993,PLACED
EI532,994,PLACED
NU711,995,PLACED
DW607,996,PLACED
CC657,997,PLACED
VZ702,998,PLACED
