:START_ID(Customer),:END_ID(Review),:TYPE
QL573,1150,WROTE
ZH741,1301,WROTE
WY218,883,WROTE
WQ849,1047,WROTE
DX151,1238,WROTE
RY572,235,WROTE
CM245,268,WROTE
FB488,721,WROTE
GJ116,192,WROTE
FC418,274,WROTE
XO649,463,WROTE
AK874,730,WROTE
WB890,1162,WROTE
JT617,1227,WROTE
XN875,1212,WROTE
GJ116,9,WROTE
MR129,121,WROTE
TW751,735,WROTE
XO649,854,WROTE
TB616,64,WROTE
RG743,395,WROTE
BF338,1189,WROTE
ME428,197,WROTE
TE207,312,WROTE
NU711,595,WROTE
JT617,607,WROTE
XW046,357,WROTE
CC657,76,WROTE
ME428,105,WROTE
XO649,292,WROTE
RG743,298,WROTE
GC846,777,WROTE
WB209,940,WROTE
KS630,1261,WROTE
GR729,338,WROTE
HD242,568,WROTE
CZ861,1099,WROTE
TO444,196,WROTE
PC764,560,WROTE
WY218,955,WROTE
VX147,1026,WROTE
ZO854,439,WROTE
RV310,45,WROTE
RY572,903,WROTE
CA470,1081,WROTE
TO444,8,WROTE
HD242,451,WROTE
VC531,1255,WROTE
EI532,316,WROTE
WB209,3,WROTE
EI532,18,WROTE
DW607,247,WROTE
LU518,1136,WROTE
VC531,552,WROTE
RY572,744,WROTE
MG296,878,WROTE
PE529,441,WROTE
KS630,666,WROTE
BP732,86,WROTE
BF338,392,WROTE
VC531,446,WROTE
EB652,700,WROTE
CZ861,674,WROTE
CM245,684,WROTE
II746,1114,WROTE
UY980,685,WROTE
II746,1054,WROTE
EK253,1210,WROTE
EM821,1236,WROTE
FJ947,248,WROTE
EI532,1062,WROTE
XW046,1153,WROTE
KS630,126,WROTE
ZF801,339,WROTE
ME428,580,WROTE
FA862,541,WROTE
RY548,736,WROTE
NU012,941,WROTE
ZU351,1292,WROTE
FC418,21,WROTE
ZU351,325,WROTE
DV182,734,WROTE
TW751,2,WROTE
CM245,502,WROTE
RY548,649,WROTE
DV182,866,WROTE
IK721,1246,WROTE
RY572,224,WROTE
AK874,38,WROTE
IP471,311,WROTE
OA831,5,WROTE
GJ116,211,WROTE
GA851,322,WROTE
AW347,62,WROTE
GR625,664,WROTE
GJ116,1286,WROTE
YR398,426,WROTE
BI759,479,WROTE
BP732,1032,WROTE
QL573,1112,WROTE
XO649,140,WROTE
NU711,879,WROTE
CZ861,689,WROTE
AK874,60,WROTE
GJ116,836,WROTE
TB616,1142,WROTE
WY218,1174,WROTE
GL926,352,WROTE
BW289,1113,WROTE
CM245,912,WROTE
MZ379,106,WROTE
CS287,1010,WROTE
PV664,442,WROTE
OA831,951,WROTE
AU710,34,WROTE
RY572,1103,WROTE
ZH741,55,WROTE
DV182,389,WROTE
UY980,497,WROTE
TE207,648,WROTE
EM821,686,WROTE
PE529,228,WROTE
QJ392,1077,WROTE
GC890,225,WROTE
GR729,457,WROTE
DV182,423,WROTE
GL926,1147,WROTE
CA470,245,WROTE
EI532,642,WROTE
QL573,1016,WROTE
MJ814,255,WROTE
PJ659,855,WROTE
DW607,1073,WROTE
LU518,639,WROTE
JT617,1188,WROTE
EU335,162,WROTE
FN522,72,WROTE
UY980,199,WROTE
BN418,806,WROTE
XW046,418,WROTE
EI532,838,WROTE
HD242,914,WROTE
PL616,891,WROTE
VC531,1027,WROTE
PL616,691,WROTE
CS287,1275,WROTE
EU335,1314,WROTE
GR729,238,WROTE
DW607,1042,WROTE
HD242,317,WROTE
KM929,1197,WROTE
MJ814,1306,WROTE
BI759,46,WROTE
PS740,584,WROTE
WB890,29,WROTE
QL573,297,WROTE
US056,562,WROTE
ME428,1266,WROTE
WB209,933,WROTE
VH856,419,WROTE
GJ116,99,WROTE
EU335,1193,WROTE
NQ176,114,WROTE
AU710,170,WROTE
ZU351,1116,WROTE
YR398,578,WROTE
TW751,138,WROTE
BW289,1216,WROTE
AK874,271,WROTE
QU287,783,WROTE
MZ379,964,WROTE
PC764,673,WROTE
PC764,1017,WROTE
AY876,1097,WROTE
FA862,1158,WROTE
AU710,1200,WROTE
AW347,687,WROTE
GR729,1134,WROTE
QT258,1208,WROTE
LB704,713,WROTE
YR398,472,WROTE
GL926,555,WROTE
CC657,792,WROTE
GC846,1133,WROTE
VZ702,1287,WROTE
PC764,351,WROTE
FN522,407,WROTE
TB616,438,WROTE
XA075,445,WROTE
GJ116,716,WROTE
YR398,1083,WROTE
EA575,125,WROTE
YZ898,324,WROTE
FJ947,1030,WROTE
NU711,232,WROTE
CA470,772,WROTE
GJ116,112,WROTE
CC657,302,WROTE
BP732,506,WROTE
AW347,893,WROTE
IP471,976,WROTE
RY548,150,WROTE
ZF061,808,WROTE
WW556,1024,WROTE
ZF801,1149,WROTE
BI759,1254,WROTE
MG296,829,WROTE
WY218,71,WROTE
CZ861,590,WROTE
EK253,612,WROTE
WB890,965,WROTE
VX147,216,WROTE
ZO854,157,WROTE
KM929,621,WROTE
WN094,536,WROTE
XO649,654,WROTE
AK874,811,WROTE
ME428,848,WROTE
NU711,858,WROTE
IP471,306,WROTE
GC846,1119,WROTE
ZH741,802,WROTE
RG743,147,WROTE
GC890,464,WROTE
AY876,24,WROTE
NU711,852,WROTE
VQ233,14,WROTE
VX147,1269,WROTE
AU710,146,WROTE
EA575,222,WROTE
XA254,833,WROTE
US056,1310,WROTE
MJ814,37,WROTE
YZ898,54,WROTE
DX151,726,WROTE
CA470,830,WROTE
EI532,1018,WROTE
WY218,1019,WROTE
VX147,1061,WROTE
RY572,913,WROTE
EM821,1092,WROTE
AY876,1141,WROTE
DW607,1088,WROTE
EB652,1168,WROTE
KS630,779,WROTE
YZ898,915,WROTE
DX151,1264,WROTE
NU711,489,WROTE
VZ702,510,WROTE
PV664,529,WROTE
OA831,490,WROTE
DH200,556,WROTE
PE529,1000,WROTE
RG743,336,WROTE
WQ849,611,WROTE
NQ176,793,WROTE
GJ116,258,WROTE
QI779,378,WROTE
IK721,401,WROTE
QU287,107,WROTE
FJ947,355,WROTE
WB209,962,WROTE
AD089,1004,WROTE
AY876,708,WROTE
ZG109,987,WROTE
QI779,785,WROTE
WN094,1013,WROTE
ZU351,15,WROTE
YZ898,984,WROTE
EM821,52,WROTE
GL926,768,WROTE
VX147,781,WROTE
GL926,698,WROTE
RV310,748,WROTE
MZ379,1289,WROTE
DV182,534,WROTE
MR129,623,WROTE
KM929,627,WROTE
KS630,971,WROTE
PJ659,56,WROTE
NQ176,704,WROTE
ZG109,331,WROTE
XN875,857,WROTE
MZ379,1058,WROTE
NU012,1248,WROTE
MJ814,1282,WROTE
XA254,215,WROTE
GL926,315,WROTE
KS630,901,WROTE
OA831,870,WROTE
VQ233,1106,WROTE
MJ814,920,WROTE
PS740,681,WROTE
VX147,1180,WROTE
VH856,26,WROTE
MR129,518,WROTE
RG743,817,WROTE
PL616,265,WROTE
FA862,922,WROTE
MJ814,1184,WROTE
GL926,1300,WROTE
EB652,1260,WROTE
MR129,10,WROTE
VH856,405,WROTE
MJ814,1165,WROTE
BN418,119,WROTE
US056,304,WROTE
QU287,376,WROTE
CC657,652,WROTE
VH856,723,WROTE
RY548,860,WROTE
QJ392,943,WROTE
RY548,203,WROTE
QI779,1290,WROTE
GA851,512,WROTE
ZH741,1139,WROTE
VC531,470,WROTE
XA254,173,WROTE
AY876,714,WROTE
CS287,801,WROTE
EM821,895,WROTE
YZ898,1070,WROTE
EM821,227,WROTE
KS630,585,WROTE
ZU351,938,WROTE
QJ392,13,WROTE
GC890,282,WROTE
ZF061,894,WROTE
CC657,1065,WROTE
ZU351,549,WROTE
DH200,431,WROTE
FC418,841,WROTE
WQ849,110,WROTE
EU335,448,WROTE
WQ849,214,WROTE
BI759,1043,WROTE
ME428,757,WROTE
MZ379,1037,WROTE
TO444,354,WROTE
ZU351,1028,WROTE
CZ861,387,WROTE
XA254,628,WROTE
YR398,970,WROTE
EU335,990,WROTE
ZH741,1166,WROTE
US056,61,WROTE
OA831,825,WROTE
IK721,662,WROTE
JT617,948,WROTE
YZ898,1109,WROTE
BN418,626,WROTE
FJ947,494,WROTE
OA831,68,WROTE
BI759,482,WROTE
AK874,309,WROTE
ZF061,48,WROTE
PJ659,579,WROTE
BN418,394,WROTE
YR398,696,WROTE
PC764,856,WROTE
HD242,1038,WROTE
MJ814,39,WROTE
AU710,863,WROTE
WN094,993,WROTE
LB704,575,WROTE
TO444,1155,WROTE
XW046,1177,WROTE
VC531,1309,WROTE
MJ814,515,WROTE
ZU351,782,WROTE
LU518,474,WROTE
TO444,897,WROTE
GR729,251,WROTE
WY218,291,WROTE
MJ814,625,WROTE
ZF061,819,WROTE
EM821,241,WROTE
HD242,928,WROTE
EB652,294,WROTE
BF338,703,WROTE
FC418,945,WROTE
NU012,1313,WROTE
CM245,1256,WROTE
NQ176,206,WROTE
EU335,250,WROTE
EK253,455,WROTE
AW347,573,WROTE
JT617,50,WROTE
VQ233,476,WROTE
RG743,821,WROTE
XA075,70,WROTE
XN875,326,WROTE
TO444,1154,WROTE
ZF061,252,WROTE
GJ116,459,WROTE
MA264,390,WROTE
LB704,343,WROTE
VC531,386,WROTE
FJ947,523,WROTE
QL573,936,WROTE
GL926,240,WROTE
IP471,1211,WROTE
QL573,1299,WROTE
ZU351,356,WROTE
FN522,384,WROTE
DX151,565,WROTE
EM821,786,WROTE
RG743,130,WROTE
AW347,519,WROTE
DX151,707,WROTE
GR729,747,WROTE
II746,129,WROTE
TW751,530,WROTE
QJ392,711,WROTE
YZ898,967,WROTE
GR729,131,WROTE
XO649,301,WROTE
BN418,321,WROTE
AD089,341,WROTE
AK874,66,WROTE
GR625,94,WROTE
FB488,327,WROTE
IP471,521,WROTE
QU287,1164,WROTE
KM929,606,WROTE
DX151,887,WROTE
JT617,773,WROTE
CA470,329,WROTE
TE207,491,WROTE
XO649,148,WROTE
NU711,187,WROTE
TB616,635,WROTE
KS630,1085,WROTE
US056,1100,WROTE
DX151,450,WROTE
CA470,905,WROTE
XA075,1060,WROTE
EA575,739,WROTE
LU518,740,WROTE
DV182,919,WROTE
VQ233,1243,WROTE
CC657,84,WROTE
LU518,937,WROTE
VQ233,202,WROTE
RG743,1101,WROTE
YZ898,22,WROTE
AK874,359,WROTE
MR129,430,WROTE
XA075,789,WROTE
ZV584,226,WROTE
AK874,1046,WROTE
HD242,1009,WROTE
PJ659,669,WROTE
FN522,680,WROTE
IP471,1087,WROTE
ME428,413,WROTE
II746,58,WROTE
CA470,1082,WROTE
PS740,1284,WROTE
FC418,361,WROTE
RY548,85,WROTE
WQ849,210,WROTE
KM929,74,WROTE
ZV584,429,WROTE
EK253,433,WROTE
GL926,923,WROTE
XO649,28,WROTE
NQ176,53,WROTE
EB652,200,WROTE
CC657,477,WROTE
MG296,823,WROTE
FJ947,11,WROTE
FN522,511,WROTE
GC890,576,WROTE
NU711,718,WROTE
CZ861,368,WROTE
DH200,261,WROTE
BP732,348,WROTE
FB488,533,WROTE
TE207,1040,WROTE
CZ861,550,WROTE
CA470,844,WROTE
YZ898,1096,WROTE
EI532,969,WROTE
US056,116,WROTE
YZ898,307,WROTE
XO649,67,WROTE
WB209,408,WROTE
AW347,44,WROTE
II746,597,WROTE
DW607,780,WROTE
AW347,1053,WROTE
DX151,750,WROTE
RV310,850,WROTE
TO444,1241,WROTE
ZV584,59,WROTE
TE207,208,WROTE
TW751,610,WROTE
IP471,699,WROTE
BI759,296,WROTE
XO649,314,WROTE
CS287,839,WROTE
MZ379,898,WROTE
EM821,822,WROTE
GR729,1074,WROTE
IP471,1111,WROTE
BW289,671,WROTE
US056,572,WROTE
BP732,582,WROTE
ZG109,738,WROTE
MA264,1225,WROTE
WQ849,790,WROTE
OA831,385,WROTE
FN522,527,WROTE
EM821,122,WROTE
DX151,501,WROTE
GR729,1198,WROTE
MJ814,1302,WROTE
XA254,613,WROTE
XW046,333,WROTE
YZ898,591,WROTE
XN875,1126,WROTE
AK874,1304,WROTE
DV182,1293,WROTE
WW556,616,WROTE
FB488,1303,WROTE
HD242,262,WROTE
RG743,1098,WROTE
UY980,204,WROTE
RY548,624,WROTE
DH200,350,WROTE
CC657,1064,WROTE
GC890,221,WROTE
VQ233,223,WROTE
LU518,1107,WROTE
MG296,391,WROTE
BI759,1298,WROTE
WN094,1311,WROTE
PE529,820,WROTE
EA575,468,WROTE
YR398,543,WROTE
ZV584,42,WROTE
QL573,174,WROTE
CZ861,362,WROTE
RV310,559,WROTE
NQ176,622,WROTE
WY218,558,WROTE
HD242,644,WROTE
EA575,886,WROTE
ZF801,279,WROTE
XO649,755,WROTE
IP471,79,WROTE
MR129,377,WROTE
GR729,630,WROTE
KM929,668,WROTE
BN418,871,WROTE
VH856,997,WROTE
RY572,1271,WROTE
CZ861,260,WROTE
DW607,136,WROTE
QJ392,205,WROTE
NU711,1288,WROTE
PJ659,178,WROTE
RY548,547,WROTE
HD242,722,WROTE
CM245,1182,WROTE
VQ233,675,WROTE
MA264,1066,WROTE
PJ659,1179,WROTE
CA470,487,WROTE
ZO854,1296,WROTE
PJ659,1262,WROTE
BW289,1069,WROTE
VQ233,218,WROTE
VZ702,400,WROTE
FA862,934,WROTE
LU518,1308,WROTE
QT258,872,WROTE
LU518,1115,WROTE
DV182,410,WROTE
ZF061,1076,WROTE
DH200,1226,WROTE
AK874,165,WROTE
PS740,397,WROTE
XA075,931,WROTE
TW751,33,WROTE
DV182,280,WROTE
FC418,795,WROTE
LU518,1280,WROTE
BI759,989,WROTE
ZF801,1118,WROTE
TE207,1110,WROTE
DX151,402,WROTE
PE529,209,WROTE
TE207,598,WROTE
NU012,712,WROTE
QI779,761,WROTE
GC846,868,WROTE
AU710,109,WROTE
KS630,135,WROTE
CM245,771,WROTE
WB209,1135,WROTE
EA575,63,WROTE
CM245,264,WROTE
DV182,720,WROTE
DH200,733,WROTE
ZF801,1131,WROTE
NU012,1185,WROTE
PC764,1272,WROTE
XO649,151,WROTE
CA470,195,WROTE
FC418,242,WROTE
RG743,293,WROTE
AY876,380,WROTE
JT617,415,WROTE
XW046,528,WROTE
WN094,1263,WROTE
GC846,977,WROTE
GJ116,539,WROTE
KM929,846,WROTE
QU287,1219,WROTE
DH200,318,WROTE
EK253,1181,WROTE
WB209,588,WROTE
KM929,888,WROTE
WB890,358,WROTE
PC764,764,WROTE
PE529,570,WROTE
FB488,103,WROTE
FJ947,124,WROTE
ZU351,158,WROTE
HD242,719,WROTE
PE529,1012,WROTE
GR729,1222,WROTE
AU710,695,WROTE
BW289,1274,WROTE
CZ861,81,WROTE
KS630,137,WROTE
QT258,1039,WROTE
XA254,911,WROTE
XA075,1307,WROTE
VZ702,729,WROTE
RY548,236,WROTE
UY980,363,WROTE
YR398,1218,WROTE
QI779,1176,WROTE
QU287,706,WROTE
VC531,1265,WROTE
GL926,141,WROTE
FB488,370,WROTE
BW289,589,WROTE
GC846,756,WROTE
NU711,207,WROTE
CC657,344,WROTE
ZF061,775,WROTE
MA264,43,WROTE
OA831,276,WROTE
NQ176,1217,WROTE
OA831,1215,WROTE
II746,1108,WROTE
DV182,96,WROTE
FN522,367,WROTE
EM821,791,WROTE
VC531,458,WROTE
LU518,574,WROTE
EU335,581,WROTE
BF338,267,WROTE
GC846,507,WROTE
US056,892,WROTE
RY572,1234,WROTE
VQ233,17,WROTE
AW347,818,WROTE
TO444,979,WROTE
QI779,1057,WROTE
QT258,485,WROTE
EI532,876,WROTE
TB616,640,WROTE
AY876,665,WROTE
TW751,751,WROTE
GJ116,1049,WROTE
PV664,69,WROTE
GC846,553,WROTE
PV664,461,WROTE
PV664,1068,WROTE
JT617,465,WROTE
VC531,657,WROTE
KM929,904,WROTE
MJ814,908,WROTE
FC418,308,WROTE
DH200,366,WROTE
ZU351,496,WROTE
BP732,1002,WROTE
ZG109,634,WROTE
EU335,651,WROTE
DW607,862,WROTE
XO649,92,WROTE
WN094,144,WROTE
XA254,690,WROTE
YR398,859,WROTE
ZH741,867,WROTE
AD089,728,WROTE
PV664,812,WROTE
CM245,724,WROTE
ZH741,995,WROTE
QU287,120,WROTE
NQ176,185,WROTE
TE207,1022,WROTE
CC657,194,WROTE
EA575,115,WROTE
AU710,1229,WROTE
FA862,1201,WROTE
YZ898,47,WROTE
EK253,798,WROTE
EB652,935,WROTE
PV664,1034,WROTE
LU518,1048,WROTE
XN875,1242,WROTE
MG296,619,WROTE
QL573,25,WROTE
ZF801,531,WROTE
BI759,1252,WROTE
WW556,1273,WROTE
MJ814,1231,WROTE
WQ849,650,WROTE
RY572,885,WROTE
MG296,27,WROTE
XW046,278,WROTE
BI759,975,WROTE
CZ861,437,WROTE
DX151,805,WROTE
VH856,172,WROTE
DW607,563,WROTE
FC418,1192,WROTE
MG296,286,WROTE
FN522,853,WROTE
XA254,1204,WROTE
QU287,193,WROTE
WW556,803,WROTE
QL573,978,WROTE
YZ898,1278,WROTE
CA470,909,WROTE
LU518,1172,WROTE
VC531,1093,WROTE
VH856,592,WROTE
VH856,677,WROTE
HD242,1122,WROTE
QJ392,1143,WROTE
WB890,994,WROTE
QJ392,323,WROTE
WB209,981,WROTE
ZV584,330,WROTE
MR129,342,WROTE
ZF801,177,WROTE
IP471,295,WROTE
BI759,732,WROTE
NU012,139,WROTE
BW289,403,WROTE
ZH741,78,WROTE
AU710,554,WROTE
FJ947,796,WROTE
GC846,633,WROTE
XN875,942,WROTE
WQ849,82,WROTE
TW751,693,WROTE
EU335,217,WROTE
TO444,1117,WROTE
QJ392,902,WROTE
RG743,932,WROTE
MJ814,1213,WROTE
DH200,847,WROTE
ZH741,991,WROTE
FJ947,77,WROTE
TW751,167,WROTE
ZV584,1223,WROTE
ZO854,532,WROTE
DV182,1233,WROTE
FN522,705,WROTE
GJ116,727,WROTE
NQ176,809,WROTE
KM929,1006,WROTE
DW607,31,WROTE
QU287,443,WROTE
AU710,743,WROTE
EU335,1175,WROTE
GC890,486,WROTE
XN875,992,WROTE
WY218,164,WROTE
RG743,237,WROTE
OA831,799,WROTE
WN094,526,WROTE
OA831,179,WROTE
GR625,1152,WROTE
KS630,824,WROTE
VC531,269,WROTE
MZ379,594,WROTE
YZ898,983,WROTE
KM929,1285,WROTE
ZU351,1171,WROTE
VC531,65,WROTE
WY218,516,WROTE
YR398,679,WROTE
EI532,899,WROTE
CA470,246,WROTE
LU518,1281,WROTE
OA831,832,WROTE
PC764,1035,WROTE
TB616,123,WROTE
CZ861,1294,WROTE
EM821,243,WROTE
WB209,505,WROTE
CC657,602,WROTE
FB488,754,WROTE
WB890,239,WROTE
WY218,1051,WROTE
XN875,128,WROTE
FJ947,593,WROTE
ZO854,907,WROTE
LU518,163,WROTE
VQ233,810,WROTE
NU711,831,WROTE
ZV584,1156,WROTE
GR625,1157,WROTE
AY876,488,WROTE
ZO854,1071,WROTE
VZ702,1084,WROTE
VX147,682,WROTE
TO444,1063,WROTE
LU518,191,WROTE
WW556,346,WROTE
IK721,661,WROTE
DX151,840,WROTE
XO649,749,WROTE
KS630,787,WROTE
WW556,1145,WROTE
IK721,4,WROTE
TE207,201,WROTE
AD089,381,WROTE
PJ659,629,WROTE
BP732,508,WROTE
LB704,717,WROTE
ME428,475,WROTE
TO444,480,WROTE
EB652,416,WROTE
TO444,184,WROTE
IP471,1008,WROTE
VX147,1160,WROTE
CC657,1,WROTE
TW751,478,WROTE
WB890,986,WROTE
MZ379,127,WROTE
DV182,980,WROTE
WB890,1183,WROTE
ZV584,1187,WROTE
TE207,347,WROTE
US056,954,WROTE
BN418,600,WROTE
II746,826,WROTE
QL573,91,WROTE
AY876,108,WROTE
FA862,760,WROTE
ZF801,1089,WROTE
GR625,213,WROTE
DV182,412,WROTE
YR398,688,WROTE
NQ176,310,WROTE
WY218,538,WROTE
TO444,647,WROTE
NQ176,656,WROTE
DX151,918,WROTE
ZH741,1170,WROTE
AD089,40,WROTE
MG296,745,WROTE
PE529,835,WROTE
BI759,449,WROTE
GL926,1140,WROTE
RY548,188,WROTE
PV664,638,WROTE
EK253,988,WROTE
VH856,1079,WROTE
FB488,132,WROTE
EB652,319,WROTE
BF338,715,WROTE
GJ116,861,WROTE
DV182,864,WROTE
MZ379,769,WROTE
JT617,925,WROTE
TB616,473,WROTE
KM929,1005,WROTE
WY218,249,WROTE
VH856,571,WROTE
AU710,947,WROTE
EB652,973,WROTE
QL573,1270,WROTE
AK874,83,WROTE
UY980,816,WROTE
VZ702,1011,WROTE
VC531,340,WROTE
VX147,1186,WROTE
RY548,349,WROTE
EI532,921,WROTE
CC657,337,WROTE
US056,495,WROTE
RG743,272,WROTE
PV664,646,WROTE
TB616,814,WROTE
GL926,189,WROTE
ZU351,930,WROTE
IP471,1245,WROTE
US056,289,WROTE
XO649,462,WROTE
GL926,709,WROTE
EU335,742,WROTE
VH856,958,WROTE
PV664,982,WROTE
AW347,320,WROTE
MR129,873,WROTE
OA831,1130,WROTE
BF338,1221,WROTE
CM245,1277,WROTE
VX147,335,WROTE
MR129,548,WROTE
MJ814,636,WROTE
RG743,770,WROTE
QI779,946,WROTE
QI779,950,WROTE
PE529,1138,WROTE
XA254,614,WROTE
GC890,645,WROTE
CZ861,881,WROTE
VX147,229,WROTE
GR729,427,WROTE
UY980,454,WROTE
DV182,599,WROTE
BN418,1029,WROTE
WB890,1121,WROTE
IP471,1253,WROTE
TO444,80,WROTE
EA575,959,WROTE
DH200,51,WROTE
TE207,759,WROTE
QJ392,95,WROTE
PL616,807,WROTE
AK874,815,WROTE
FN522,142,WROTE
BP732,1050,WROTE
VZ702,133,WROTE
VC531,233,WROTE
XO649,190,WROTE
AY876,492,WROTE
XN875,493,WROTE
YZ898,767,WROTE
PS740,1297,WROTE
CC657,1312,WROTE
ZG109,917,WROTE
VZ702,587,WROTE
GR729,1257,WROTE
BN418,181,WROTE
CS287,509,WROTE
MZ379,524,WROTE
AK874,875,WROTE
CZ861,985,WROTE
TW751,1104,WROTE
BF338,670,WROTE
ZH741,453,WROTE
WW556,382,WROTE
GJ116,927,WROTE
AD089,1173,WROTE
ME428,828,WROTE
XN875,889,WROTE
ZO854,101,WROTE
DH200,653,WROTE
MA264,916,WROTE
GR625,41,WROTE
FA862,399,WROTE
KM929,924,WROTE
ZU351,417,WROTE
QU287,566,WROTE
GR625,1014,WROTE
VQ233,300,WROTE
TE207,966,WROTE
NU711,149,WROTE
GJ116,784,WROTE
CM245,1167,WROTE
XO649,631,WROTE
WB209,57,WROTE
AD089,253,WROTE
XA254,393,WROTE
ZO854,169,WROTE
GC846,953,WROTE
MJ814,90,WROTE
BP732,968,WROTE
FB488,1127,WROTE
ZU351,1239,WROTE
DV182,753,WROTE
EK253,999,WROTE
XA254,583,WROTE
YZ898,609,WROTE
QI779,544,WROTE
CS287,6,WROTE
AY876,102,WROTE
GR729,1228,WROTE
MR129,1259,WROTE
AY876,800,WROTE
NU012,1080,WROTE
IK721,672,WROTE
GC890,1123,WROTE
EM821,561,WROTE
BP732,1120,WROTE
YR398,118,WROTE
ZH741,849,WROTE
DX151,111,WROTE
VQ233,153,WROTE
AW347,231,WROTE
DW607,440,WROTE
HD242,1041,WROTE
NU711,414,WROTE
KM929,641,WROTE
XO649,746,WROTE
AU710,974,WROTE
FA862,32,WROTE
PS740,263,WROTE
AY876,154,WROTE
JT617,143,WROTE
FC418,845,WROTE
KS630,504,WROTE
CA470,514,WROTE
LU518,303,WROTE
PS740,1055,WROTE
TE207,182,WROTE
CC657,328,WROTE
TE207,637,WROTE
LU518,1305,WROTE
QI779,1194,WROTE
WN094,1091,WROTE
VQ233,620,WROTE
LU518,1267,WROTE
VH856,145,WROTE
BF338,432,WROTE
WB209,776,WROTE
QJ392,884,WROTE
EK253,89,WROTE
NQ176,244,WROTE
WQ849,522,WROTE
AY876,1102,WROTE
